fare_type,applicable_time,distance,fare_per_ride
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),29.3 km - 30.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),30.3 km - 31.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),31.3 km - 32.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),32.3 km - 33.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),33.3 km - 34.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),34.3 km - 35.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),35.3 km - 36.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),36.3 km - 37.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),37.3 km - 38.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),38.3 km - 39.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),39.3 km - 40.2 km,43
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),Over 40.2 km,43
Persons with diabilities card fare,All other timings,Up to 3.2 km,60
Persons with diabilities card fare,All other timings,3.3 km - 4.2 km,67
Persons with diabilities card fare,All other timings,4.3 km - 5.2 km,74
Persons with diabilities card fare,All other timings,5.3 km - 6.2 km,81
Persons with diabilities card fare,All other timings,6.3 km - 7.2 km,87
Persons with diabilities card fare,All other timings,7.3 km - 8.2 km,93
Persons with diabilities card fare,All other timings,8.3 km - 9.2 km,93
Persons with diabilities card fare,All other timings,9.3 km - 10.2 km,93
Persons with diabilities card fare,All other timings,10.3 km - 11.2 km,93
Persons with diabilities card fare,All other timings,11.3 km - 12.2 km,93
Persons with diabilities card fare,All other timings,12.3 km - 13.2 km,93
Persons with diabilities card fare,All other timings,13.3 km - 14.2 km,93
Persons with diabilities card fare,All other timings,14.3 km - 15.2 km,93
Persons with diabilities card fare,All other timings,15.3 km - 16.2 km,93
Persons with diabilities card fare,All other timings,16.3 km - 17.2 km,93
Persons with diabilities card fare,All other timings,17.3 km - 18.2 km,93
Persons with diabilities card fare,All other timings,18.3 km - 19.2 km,93
Persons with diabilities card fare,All other timings,19.3 km - 20.2 km,93
Persons with diabilities card fare,All other timings,20.3 km - 21.2 km,93
Persons with diabilities card fare,All other timings,21.3 km - 22.2 km,93
Persons with diabilities card fare,All other timings,22.3 km - 23.2 km,93
Persons with diabilities card fare,All other timings,23.3 km - 24.2 km,93
Persons with diabilities card fare,All other timings,24.3 km - 25.2 km,93
Persons with diabilities card fare,All other timings,25.3 km - 26.2 km,93
Persons with diabilities card fare,All other timings,26.3 km - 27.2 km,93
Persons with diabilities card fare,All other timings,27.3 km - 28.2 km,93
Persons with diabilities card fare,All other timings,28.3 km - 29.2 km,93
Persons with diabilities card fare,All other timings,29.3 km - 30.2 km,93
Persons with diabilities card fare,All other timings,30.3 km - 31.2 km,93
Persons with diabilities card fare,All other timings,31.3 km - 32.2 km,93
Persons with diabilities card fare,All other timings,32.3 km - 33.2 km,93
Persons with diabilities card fare,All other timings,33.3 km - 34.2 km,93
Persons with diabilities card fare,All other timings,34.3 km - 35.2 km,93
Persons with diabilities card fare,All other timings,35.3 km - 36.2 km,93
Persons with diabilities card fare,All other timings,36.3 km - 37.2 km,93
Persons with diabilities card fare,All other timings,37.3 km - 38.2 km,93
Persons with diabilities card fare,All other timings,38.3 km - 39.2 km,93
Persons with diabilities card fare,All other timings,39.3 km - 40.2 km,93
Persons with diabilities card fare,All other timings,Over 40.2 km,93
